"Date","Time","NOx"
"21-09","  3- 4",15
"21-09","  2- 3",18.29
"21-09","  1- 2",16.4
"21-09","  0- 1",14.65
"20-09"," 23-24",20.7
"20-09"," 22-23",43.03
"20-09"," 21-22",55.67
"20-09"," 20-21",50.39
"20-09"," 19-20",49.63
"20-09"," 18-19",43.38
"20-09"," 17-18",36.6
"20-09"," 16-17",44.1
"20-09"," 15-16",42.93
"20-09"," 14-15",81.66
"20-09"," 13-14",78.81
"20-09"," 12-13",91.73
"20-09"," 11-12",75.28
"20-09"," 10-11",84.31
"20-09","  9-10",132.01
"20-09","  8- 9",140.39
"20-09","  7- 8",169.54
"20-09","  6- 7",208.07
"20-09","  5- 6",164.44
"20-09","  4- 5",22.39
"20-09","  3- 4",18.22
"20-09","  2- 3",18.42
"20-09","  1- 2",17.48
"20-09","  0- 1",16.69
"19-09"," 23-24",16.02
"19-09"," 22-23",39.55
"19-09"," 21-22",65.91
"19-09"," 20-21",70.5
"19-09"," 19-20",46.91
"19-09"," 18-19",42.8
"19-09"," 17-18",77.44
"19-09"," 16-17",101.59
"19-09"," 15-16",103.52
"19-09"," 14-15",141.43
"19-09"," 13-14",124.67
"19-09"," 12-13",153.77
"19-09"," 11-12",169.44
"19-09"," 10-11",152.87
"19-09","  9-10",159.57
"19-09","  8- 9",190.73
"19-09","  7- 8",240.88
"19-09","  6- 7",179.3
"19-09","  5- 6",91.85
"19-09","  4- 5",40.48
"19-09","  3- 4",15.71
"19-09","  2- 3",7.46
"19-09","  1- 2",13.95
"19-09","  0- 1",12.92
"18-09"," 23-24",14.84
"18-09"," 22-23",20.15
"18-09"," 21-22",27.61
"18-09"," 20-21",35.74
"18-09"," 19-20",47.19
"18-09"," 18-19",43.16
"18-09"," 17-18",49.71
"18-09"," 16-17",67.27
"18-09"," 15-16",51.68
"18-09"," 14-15",37.58
"18-09"," 13-14",37.41
"18-09"," 12-13",33.92
"18-09"," 11-12",37.31
"18-09"," 10-11",37.44
"18-09","  9-10",27.42
"18-09","  8- 9",28.5
"18-09","  7- 8",19.67
"18-09","  6- 7",33.11
"18-09","  5- 6",22.94
"18-09","  4- 5",16.12
"18-09","  3- 4",15.27
"18-09","  2- 3",23.15
"18-09","  1- 2",26.04
"18-09","  0- 1",21.42
"17-09"," 23-24",31.39
"17-09"," 22-23",27.06
"17-09"," 21-22",30.5
"17-09"," 20-21",27.42
"17-09"," 19-20",30.92
"17-09"," 18-19",30.98
"17-09"," 17-18",45.82
"17-09"," 16-17",39.54
"17-09"," 15-16",42.47
"17-09"," 14-15",42.43
"17-09"," 13-14",66.53
"17-09"," 12-13",74.32
"17-09"," 11-12",65.64
"17-09"," 10-11",66.9
"17-09","  9-10",59.91
"17-09","  8- 9",60.04
"17-09","  7- 8",40.29
"17-09","  6- 7",29.24
"17-09","  5- 6",16.26
"17-09","  4- 5",9.64
"17-09","  3- 4",13.8
"17-09","  2- 3",23.63
"17-09","  1- 2",19.25
"17-09","  0- 1",23.56
"16-09"," 23-24",18.29
"16-09"," 22-23",19.03
"16-09"," 21-22",25.18
